card_id,name,rarity,stone,wind,veil,oath,eye,weight,upkeep,rules_text,section,initiative_text,initiative_summary
12,Zari,rare,3,3,8,7,4,4,13,"Pale, silt-dusted skin, echoing voice, flowing robes.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Enemies entering adjacent spaces must target this unit if able.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
13,Maskat,rare,4,4,7,4,6,4,12,"Tall, masked, faceless, plate armor.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
14,Eresh,rare,6,7,3,3,3,4,10,"Towering, obsidian skin, cuneiform armor, glowing runed wings.",Heroes,"When attacking, this unit deals damage before normal combat resolution. Enemies entering adjacent spaces must target this unit if able.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
15,Shulgi,rare,3,4,6,4,7,4,12,"Radiant halo fused with tribunal mask, heavy armored body.",Heroes,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. After resolving, this unit may reposition 1 space.","Standard Initiative (5)
🛡️ Guard 2 • ⚔️ First Strike 2
25% chance to parry first hit.
May act early if morale > 3."
16,Whipbearer,low,3,0,3,0,0,3,1,"Lean enforcers with scarred backs, wielding barbed whips.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
17,Spear Watch,low,0,2,2,1,1,2,0,Bronze-armored footmen with long spears.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
18,Bronze Shield,low,2,1,0,2,0,2,0,"Tower shield carriers, masks hide scarred faces.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
19,Tax Enforcer,low,0,1,3,1,1,2,0,"Fat, jewel-laden men clutching ledgers and maces.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
20,Chain Keeper,low,1,2,0,0,1,1,0,Muscled overseer with hooks and chains.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
21,Pit Houndmaster,low,1,3,2,1,1,3,1,Scarred veteran with muzzled jackals.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
22,Ash Novice,low,1,1,1,2,0,2,0,Skin blackened with ash tattoos.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
23,Blood Acolyte,low,0,3,0,2,0,2,0,"Bloodstained robes, ritual knives.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
24,Chanter Priest,low,1,1,2,1,1,2,0,"Hooded, mouths stitched, chanting low.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
25,Knife Zealot,low,1,1,2,2,0,2,0,"Wide-eyed, wild, dual knives.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
26,Desert Jackal,low,2,0,3,0,1,2,0,"Rag-wrapped raider, jackal skull mask.",Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
27,River Raider,low,0,0,2,3,1,2,0,"Reed-armor, water-stained weapons.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
28,Marsh Cutthroat,low,1,0,0,1,2,1,0,Reed-wrapped assassins with frog tattoos.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
29,Ash Rider,low,1,1,1,1,0,1,0,Desert nomad on a skeletal hyena.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
30,Canal Thief,low,2,0,3,1,1,2,0,Ragged thief with reed mask.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
31,Bone Jackal,low,1,1,1,1,2,2,0,Skeletal jackal bound with sinew.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
32,Reed Serpent,low,1,1,2,0,2,2,0,Long green snake camouflaged in reeds.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
33,Ash Scorpion,low,1,2,1,2,0,2,0,Blackened scorpion glowing red.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
34,Sand Hyena,low,0,0,1,2,2,2,0,"Mangy, desert-burned hyena with glowing eyes.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
35,Bog Crocodile,low,1,0,3,2,1,2,0,Massive croc with reed armor.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
36,Mud Rat,low,3,1,1,1,1,2,0,Giant sludge rat.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
37,Sewer Leech,low,0,2,1,0,1,1,0,Massive bloated leech.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
38,Corpse Beetle,low,3,0,2,1,0,2,0,Swarms of black beetles.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
39,Glass Mite,low,0,1,1,2,3,2,0,Tiny crystalline mites.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
40,Pit Ghoul,low,1,1,0,1,1,1,0,Half-starved humanoid feeding on corpses.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
41,Lash Captain,low,1,2,1,1,1,2,0,"Overseer in bronze mask, wielding twin whips.",Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
42,Pike Slave,low,0,1,2,0,2,2,0,Shackled warrior forced to carry long pike.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
43,Shield Twins,low,1,0,3,1,2,2,0,Pair of fighters sharing a massive wooden shield.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
44,Whip Sergeant,low,2,0,1,2,1,2,0,"Veteran with scarred arms, bronze whip.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
45,Slave Hunter,low,1,3,1,1,0,2,0,"Tracker with hounds on leashes, bone talismans.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
46,Dog Breaker,low,1,0,1,1,1,1,0,Brutal overseer wielding iron cudgel.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
47,Ledger Bearer,low,3,3,1,0,0,3,1,Corpulent overseer with chained ledger.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
48,Pit Jailer,low,1,3,0,0,2,2,0,Hooded figure with ring of keys.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
49,Fire Ashling,low,0,0,1,1,0,1,0,Cloaked in ash fire robes.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
50,Bone Eater,low,0,1,1,1,2,2,0,Gaunt figure gnawing bones.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
51,Crimson Youth,low,1,0,2,0,2,2,0,Painted in blood-red clay.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
52,Chant Twins,low,1,1,0,2,1,2,0,"Two initiates bound together, chanting in unison.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
53,Idol Servant,low,1,2,0,2,0,2,0,Bare-chested acolyte chained to idol fragments.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
54,Hill Raider,low,3,1,1,3,1,3,1,"Leather-clad, mountain tattoos.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
55,Oasis Thief,low,0,0,2,0,1,1,0,"Wears water skins, blue scarf.",Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
56,Caravan Breaker,low,2,1,1,2,1,2,0,"Heavily armed, desert cloak.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
57,Dust Rider,low,0,1,2,1,1,2,0,Mounted on skeletal horse.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
58,Night Prowler,low,1,1,0,0,2,1,0,"Dark garb, glowing yellow eyes.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
59,Desert Vulture,low,1,0,2,1,1,2,0,Giant carrion bird.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
60,Marsh Toad,low,1,0,1,2,1,2,0,"Bloated, warty giant toad.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
61,Fire Beetle,low,1,2,0,2,0,2,0,Beetle with glowing ember shell.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
62,Ash Rat,low,0,1,2,2,1,2,0,Rat with glowing red eyes.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
63,Sand Wormling,low,1,2,0,1,1,2,0,Small dune-burrowing worm.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
64,Plague Bat,low,1,0,1,2,0,1,0,Diseased winged bat.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
65,Slime Lizard,low,1,1,2,0,0,1,0,"Slick, glowing amphibian.",Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
66,Rust Mite,low,0,0,3,2,0,2,0,Metallic-eating insect swarm.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
67,Tunnel Spider,low,1,1,0,1,0,1,0,Hairy cave spider.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
68,Shadow Eel,low,1,2,3,0,1,2,0,Black eel with glowing eyes.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
69,Sludge Slime,low,1,2,1,3,0,2,0,Amorphous green ooze.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
70,Filth King,low,0,1,3,2,0,2,0,Massive rat swarm bound together.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
71,Rust Slug,low,0,3,0,2,0,2,0,Iron-shelled slug.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
72,Canal Lamprey,low,1,1,3,1,1,2,0,Lamprey with barbed maw.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
73,Bone Centipede,low,0,2,1,2,0,2,0,White segmented beast with bone plates.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
74,Fungus Creeper,low,0,0,1,0,1,1,0,Humanoid fungus growth.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
75,Cistern Horror,low,1,1,0,2,1,2,0,Gigantic slime amalgamation.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
76,Iron Lash,low,2,0,1,1,1,2,0,"Muscular captain clad in bronze scale, wielding spiked whip.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
77,Bronze Spear,low,0,1,0,3,1,2,0,"Veteran soldier, ornate bronze spear tipped with obsidian.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
78,Gold Captain,low,1,1,2,0,1,2,0,"Bronze armor with gilded mask, whip and short sword.",Grunts,"When attacking, this unit deals damage before normal combat resolution. Not exhausted by defending; may react once per round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
79,Ash Priest,low,0,2,0,2,1,2,0,Tall priest with ash veil.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
80,Blood Evoker,low,0,3,1,1,0,2,0,Gaunt priest with bleeding hands.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
81,Hymncaller Priest,low,0,2,0,3,0,2,0,Chanting priestess with bone chimes.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
82,River Wolf,low,1,3,2,1,0,2,0,"Painted in blue tattoos, wolf pelt cloak.",Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
83,Desert Hawk,low,1,2,1,3,1,3,1,"Bronze-feather cloak, hawk mask.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
84,Marsh Stalker,low,1,1,1,2,3,3,1,"Reed armor, body smeared with swamp mud.",Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
85,Jackal Alpha,low,0,0,0,2,2,2,0,Oversized jackal with scarred muzzle.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
86,Serpent Queen,low,1,3,1,0,0,2,0,Massive reed serpent crowned with bone frill.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
87,Scorpion King,low,1,0,1,1,1,1,0,Huge black scorpion with molten veins.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
88,Hyena Matron,low,1,1,0,1,2,2,0,Enormous matriarch hyena.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
89,Ink Tongue,low,2,1,1,2,1,2,0,Mouth stained black with cursed ink.,Grunts,"When defending, this unit acts first and can intercept attacks aimed at adjacent allies. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
90,Dust Librarian,low,1,1,0,1,0,1,0,Hooded scribe with sand-dusted scrolls.,Grunts,"When attacking, this unit deals damage before normal combat resolution. Allied units adjacent to this gain +1 to checks this round.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
91,Cuneiform Shade,low,1,3,1,3,1,3,1,Shadowy form covered in glowing glyphs.,Grunts,"When attacking, this unit deals damage before normal combat resolution. If played this turn, this unit resolves before other actions.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
92,Bronze Automaton,low,0,1,2,2,1,2,0,Clunky humanoid frame of bronze gears.,Grunts,"When attacking, this unit deals damage before normal combat resolution. After resolving, this unit may reposition 1 space.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Reduces opening damage slightly.
Rarely acts first."
