lore_text,mechanics_text
"Namtar — HEROES of Flux/Oath.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Oath; duty before fear.","Standard Initiative (5)
🛡️ Guard 4 • ⚔️ First Strike 4
Allies within 1 tile gain +1 Guard this round; On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Zari — HEROES of Flux/Veil.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Veil; duty before fear.","Basic Initiative (3)
🛡️ Guard 3 • ⚔️ First Strike 2
Shrouded on entry; adjacent enemies −1 accuracy; Allies within 1 tile gain +1 Guard this round; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Maskat — HEROES of Flux/Veil.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Veil; duty before fear.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Shrouded on entry; adjacent enemies −1 accuracy; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Eresh — HEROES of Flux/Wind.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Wind; duty before fear.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
Acts early; +1 range on the opening turn; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Shulgi — HEROES of Flux/Eye.
A name carried by rumor and oath, standing where lesser lines break.
Channels Flux with Eye; duty before fear.","Standard Initiative (5)
🛡️ Guard 3 • ⚔️ First Strike 4
On attack, peek the top of an enemy deck; End step: pay 1 supply or take 2 recoil.
• Count resources; burst then rotate.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Whipbearer — GRUNTS of Stone/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Spear Watch — GRUNTS of Wind/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bronze Shield — GRUNTS of Stone/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Tax Enforcer — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Chain Keeper — GRUNTS of Wind/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Pit Houndmaster — GRUNTS of Wind/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ash Novice — GRUNTS of Oath/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Blood Acolyte — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Chanter Priest — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Knife Zealot — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Desert Jackal — GRUNTS of Veil/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"River Raider — GRUNTS of Oath/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Marsh Cutthroat — GRUNTS of Eye/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Eye; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ash Rider — GRUNTS of Stone/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Canal Thief — GRUNTS of Veil/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bone Jackal — GRUNTS of Eye/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Eye; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Reed Serpent — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ash Scorpion — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Sand Hyena — GRUNTS of Oath/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bog Crocodile — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Mud Rat — GRUNTS of Stone/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Sewer Leech — GRUNTS of Wind/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Corpse Beetle — GRUNTS of Stone/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Glass Mite — GRUNTS of Eye/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Eye; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Pit Ghoul — GRUNTS of Stone/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Lash Captain — GRUNTS of Wind/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Pike Slave — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Shield Twins — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Whip Sergeant — GRUNTS of Stone/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Slave Hunter — GRUNTS of Wind/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Dog Breaker — GRUNTS of Stone/Veil.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ledger Bearer — GRUNTS of Stone/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Pit Jailer — GRUNTS of Wind/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 2
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Fire Ashling — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bone Eater — GRUNTS of Eye/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Eye; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Crimson Youth — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Chant Twins — GRUNTS of Oath/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Idol Servant — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Hill Raider — GRUNTS of Stone/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 2 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Oasis Thief — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Caravan Breaker — GRUNTS of Stone/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Dust Rider — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Night Prowler — GRUNTS of Eye/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Eye; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Scout first; answer hidden threats.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Desert Vulture — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Marsh Toad — GRUNTS of Oath/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Fire Beetle — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ash Rat — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Sand Wormling — GRUNTS of Wind/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Plague Bat — GRUNTS of Oath/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Slime Lizard — GRUNTS of Veil/Stone.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Rust Mite — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Tunnel Spider — GRUNTS of Stone/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Shadow Eel — GRUNTS of Veil/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Sludge Slime — GRUNTS of Oath/Wind.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Filth King — GRUNTS of Veil/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Rust Slug — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Canal Lamprey — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bone Centipede — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Fungus Creeper — GRUNTS of Veil/Eye.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Cistern Horror — GRUNTS of Oath/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Iron Lash — GRUNTS of Stone/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Stone; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Anchor chokepoints; take hits others can't.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Bronze Spear — GRUNTS of Oath/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Oath; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Stay clustered; spread auras wisely.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Gold Captain — GRUNTS of Veil/Weight.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Veil; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Fight in fog; punish over-extensions.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
"Ash Priest — GRUNTS of Wind/Oath.
Steel-nerved and short on luck, made dangerous by repetition.
Leans on Wind; grunts work done without applause.","Basic Initiative (3)
🛡️ Guard 1 • ⚔️ First Strike 1
Checks get +1 when adjacent to an ally.
• Force trades on your turn; keep tempo.
• Pair with allies that cover your weakest stat.
• Trade only when your initiative window is open."
