card_id,card_name,card_family,owner_faction,confidence,top_margin,score_BorderstoneGuild,score_FloodbornPact,score_SkyloomTemple,score_UnderwellKeepers,score_Fateforge,legacy_race,race_suggest,race_purity,race_total,token_suggest,token_best_purity,token_evidence,review_outcome,recommended_faction,review_notes
175,Bone Goliath,Boss,UnderwellKeepers,high,11,0,0,0,11,0,,,,,,,,,,
176,Blood Moon Avatar,Boss,SkyloomTemple,high,4,0,3,7,0,1,,,,,,,,,,
256,Zari,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
257,Zaleth,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
258,Urid,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
259,Tammuz,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
260,Shulgi,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
262,Namtar,Character,SkyloomTemple,high,4,0,0,7,3,0,,,,,,,,,,
263,Nammu,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
264,Maskat,Character,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
265,Irik,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
266,Iltu,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
268,Eresh,Character,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
270,Void Tick,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
271,Void Hyena,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
277,Sand Scuttler,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
279,Sand Pike,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
284,Rune Idol,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
285,Rune Beetle,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
287,Red Shade,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
292,Red Jackal,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
294,Pit King,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
295,Obsidian Hound,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
300,Oath Ghoul,Character,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
303,Masked Gladiator,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
312,Golden Vulture,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
315,Golden Hoplite,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
318,Glass Lizard,Character,FloodbornPact,high,7,0,8,0,0,1,,,,,,,,,,
321,Ember Lord,Character,UnderwellKeepers,high,7,0,0,0,10,3,,,,,,,,,,
322,Dust Wraith,Character,UnderwellKeepers,high,4,4,0,0,8,0,,,,,,,,,,
323,Dust Titan,Character,UnderwellKeepers,high,8,0,0,0,8,0,,,,,,,,,,
325,Dust Phantom,Character,UnderwellKeepers,high,8,0,0,0,8,0,,,,,,,,,,
330,Dune Chieftain,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
332,Crystal Scorpion,Character,FloodbornPact,high,5,0,8,0,3,3,,,,,,,,,,
333,Crystal Rat,Character,Fateforge,high,10,0,0,0,0,10,,,,,,,,,,
335,Crimson Prophetess,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
336,Crimson Pontiff,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
337,Crimson Khan,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
338,Crimson Horror,Character,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
339,Crimson Guard,Character,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
342,Crimson Champion,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
343,Crimson Abomination,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
346,Chain Wraith,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
347,Chain Warlord,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
349,Chain Duelist,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
352,Carrion Jackal,Character,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
353,Carrion Bat,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
354,Canyon Lurker,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
355,Canyon Lord,Character,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
360,Bound Hound,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
362,Bone Pit,Character,FloodbornPact,high,5,0,6,0,1,0,,,,,,,,,,
368,Blood Slave,Character,FloodbornPact,high,4,0,5,0,0,1,,,,,,,,,,
371,Blood Dervish,Character,Fateforge,high,9,0,0,0,0,9,,,,,,,,,,
372,Ash Wight,Character,SkyloomTemple,high,4,0,0,7,0,3,,,,,,,,,,
378,Ash Leviathan,Character,FloodbornPact,high,8,0,11,0,0,3,,,,,,,,,,
386,Word-Eater,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
387,Void Knight,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
394,Void Augur,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
404,Rune Captain,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
410,Obelisk General,Character,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
415,Lunar Abomination,Character,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
416,Ironclad Gladiator,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
417,Iron Gaoler,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
419,Hymncaller,Character,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
421,Hollow Beast,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
423,Halo Seraph,Character,SkyloomTemple,high,6,0,0,6,0,0,,,,,,,,,,
424,Halo Regent,Character,SkyloomTemple,high,10,0,0,10,0,0,,,,,,,,,,
431,Golden Strategist,Character,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
435,Fire Pot Bearer,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
436,Eclipse Wraith,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
437,Eclipse Warlock,Character,UnderwellKeepers,high,4,0,1,0,5,0,,,,,,,,,,
438,Eclipse Hierophant,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
439,Desert Boar King,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
440,Crystal Vanguard,Character,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
445,Crystal Colossus,Character,FloodbornPact,high,5,0,8,0,0,3,,,,,,,,,,
446,Crescent Duelist,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
447,Crater Brute,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
461,Blade Dancer,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
467,Ash Gladiator Lord,Character,SkyloomTemple,high,4,0,0,7,0,3,,,,,,,,,,
469,Wraith Caller,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
470,Vow Keeper,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
472,Void Evoker,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
476,Venom Brewer,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
480,Soul Harvester,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
482,Sigil Binder,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
486,Sand Mystic,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
490,Red Soothsayer,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
491,Oracle of Chains,Character,UnderwellKeepers,high,5,0,0,1,6,0,,,,,,,,,,
492,Obsidian Tinker,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
496,Idol Binder,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
498,Glyph Scribe,Character,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
501,Flesh Sculptor,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
502,Flesh Carver,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
517,Crimson Thaumaturge,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
519,Crimson Oracle,Character,UnderwellKeepers,high,4,0,0,1,5,0,,,,,,,,,,
520,Crimson Caller,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
521,Crimson Binder,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
523,Chain Engineer,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
526,Bone Binder,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
528,Blood Soothsayer,Character,UnderwellKeepers,high,4,0,0,0,5,1,,,,,,,,,,
531,Beast Caller,Character,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
532,Ash Weaver,Character,UnderwellKeepers,high,7,0,0,0,10,3,,,,,,,,,,
534,Ash Sculptor,Character,FloodbornPact,high,5,0,8,0,0,3,,,,,,,,,,
538,Ash Dreamer,Character,SkyloomTemple,high,4,0,0,7,0,3,,,,,,,,,,
549,Void Horror,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
551,Tunnel Crawler,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
553,Toxin Whisperer,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
554,Tomb Scrivener,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
556,Tax Shade,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
557,Tax Enforcer,Character,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
563,Slime Lizard,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
564,Slave Hunter,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
568,Siege Idol,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
569,Shield Twins,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
573,Shadow Binder,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
574,Shackled Wraith,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
575,Shackled Ghoul,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
577,Sewer Leech,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
580,Scorpion Queen,Character,Fateforge,high,4,0,0,0,3,7,,,,,,,,,,
581,Scorpion King,Character,UnderwellKeepers,high,8,0,0,0,8,0,,,,,,,,,,
583,Sand Wormling,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
585,Sand Mirage,Character,SkyloomTemple,high,4,0,0,4,0,0,,,,,,,,,,
587,Sand Golem,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
588,Sand Archivist,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
598,River Raider,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
600,Reed Leviathan,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
603,Plague Bat,Character,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
607,Pit Ghoul,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
609,Pit Champion,Character,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
610,Pike Slave,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
613,Pale Ghast,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
618,Oath Spawn,Character,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
619,Oath Singer,Character,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
620,Oasis Thief,Character,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
626,Mirror Reed,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
627,Masked Slayer,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
636,Lantern Shade,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
638,Jackal Alpha,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
643,Idol Shade,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
645,Idol Puppeteer,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
648,Hyena Matron,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
650,Hollow Tick,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
657,Gold Spider,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
668,Fire Ram,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
674,False Prophet,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
675,Fallen Priest,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
680,Eclipse Drone,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
681,Eclipse Chanter,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
683,Dust Rider,Character,SkyloomTemple,high,4,0,0,7,3,0,,,,,,,,,,
685,Dusk Serpent,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
689,Desert Viper,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
692,Desert Boar,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
693,Cuneiform Shade,Character,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
696,Crystal Gnat,Character,SkyloomTemple,high,4,0,0,7,0,3,,,,,,,,,,
705,Chanter Priest,Character,BorderstoneGuild,high,6,6,0,0,0,0,,,,,,,,,,
706,Chant Twins,Character,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
711,Chain Drudge,Character,UnderwellKeepers,high,10,0,0,0,10,0,,,,,,,,,,
712,Chain Automaton,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
714,Canal Thief,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
715,Canal Lamprey,Character,Fateforge,high,7,0,0,0,0,7,,,,,,,,,,
718,Bronze Sentinel,Character,FloodbornPact,high,5,0,5,0,0,0,,,,,,,,,,
721,Bronze Automaton,Character,SkyloomTemple,high,7,0,0,7,0,0,,,,,,,,,,
722,Broken Scribe,Character,UnderwellKeepers,high,5,0,0,1,6,0,,,,,,,,,,
723,Bonebound Spirit,Character,Fateforge,high,4,0,0,0,1,5,,,,,,,,,,
724,Bone Queen,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
726,Bone Gnawer,Character,SkyloomTemple,high,6,0,0,7,1,0,,,,,,,,,,
729,Bone Chariot,Character,FloodbornPact,high,7,0,8,0,1,0,,,,,,,,,,
730,Bone Centipede,Character,UnderwellKeepers,high,6,0,0,0,6,0,,,,,,,,,,
732,Bog Crocodile,Character,BorderstoneGuild,high,4,4,0,0,0,0,,,,,,,,,,
733,Blood Prophet,Character,FloodbornPact,high,4,0,5,0,0,1,,,,,,,,,,
735,Blood Keeper,Character,Fateforge,high,6,0,0,0,0,6,,,,,,,,,,
739,Blind Crawler,Character,FloodbornPact,high,4,0,4,0,0,0,,,,,,,,,,
743,Ash Rider,Character,FloodbornPact,high,5,0,8,0,0,3,,,,,,,,,,
748,Ash Novice,Character,Fateforge,high,8,0,0,0,0,8,,,,,,,,,,
753,Arena Brute,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
754,Abyssal Archivist,Character,FloodbornPact,high,6,0,6,0,0,0,,,,,,,,,,
189,Emergency Rationing,Edict,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
190,Censor Audit,Edict,Fateforge,high,6,0,0,2,5,11,,,,,,,,,,
191,Festival Truce,Edict,Fateforge,high,6,0,0,2,0,8,,,,,,,,,,
1,"Lamassu, Gate-Guardian",HostSigil,BorderstoneGuild,high,9,14,5,5,0,0,,,,,,,,,,
2,Bull of Heaven Fragment,HostSigil,FloodbornPact,high,4,1,5,0,0,0,,,,,,,,,,
8,Namtar Shade,HostSigil,UnderwellKeepers,high,8,0,0,0,8,0,,,,,,,,,,
11,Solar Juror,HostSigil,SkyloomTemple,high,11,0,0,11,0,0,,,,,,,,,,
13,Lion of the Threshold,HostSigil,BorderstoneGuild,high,4,9,0,5,0,0,,,,,,,,,,
195,Void Appeal,Name,SkyloomTemple,high,8,0,0,8,0,0,,,,,,,,,,
196,Witness Noon,Name,SkyloomTemple,high,4,2,0,6,0,0,,,,,,,,,,
203,Closed Gate,Name,BorderstoneGuild,high,8,11,0,2,3,0,,,,,,,,,,
242,Grave Moth,Pet,UnderwellKeepers,high,4,0,0,0,12,8,,,,,,,,,,
243,River Lynx,Pet,FloodbornPact,high,6,0,11,0,0,5,,,,,,,,,,
247,Seal Hound,Pet,SkyloomTemple,high,6,2,0,8,0,0,,,,,,,,,,
249,Lantern Gecko,Pet,UnderwellKeepers,high,5,0,0,0,5,0,,,,,,,,,,
251,Tablet Finch,Pet,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
252,Reed Cat,Pet,FloodbornPact,high,8,0,8,0,0,0,,,,,,,,,,
253,Oath Beetle,Pet,SkyloomTemple,high,6,2,0,8,0,0,,,,,,,,,,
226,Shardwheel Engine,Relic,Fateforge,high,10,0,1,0,0,11,,,,,,,,,,
228,Ledger Rewrite,Relic,Fateforge,high,5,0,0,4,0,9,,,,,,,,,,
231,Sunscript Censer,Relic,SkyloomTemple,high,6,5,0,11,5,0,,,,,,,,,,
232,Kudurru Nail,Relic,BorderstoneGuild,high,4,5,0,0,1,0,,,,,,,,,,
233,Ashen Hourglass,Relic,Fateforge,high,5,0,0,0,0,5,,,,,,,,,,
234,Witness Bell,Relic,SkyloomTemple,high,9,0,0,9,0,0,,,,,,,,,,
236,Sealbreaker Awl,Relic,SkyloomTemple,high,5,0,0,5,0,0,,,,,,,,,,
210,Destiny Archive Vault,Site,SkyloomTemple,high,6,11,0,5,0,0,,,,,,,,,,
212,Oath Chain Dais,Site,BorderstoneGuild,high,6,11,0,5,5,0,,,,,,,,,,
214,Mirror Archive,Site,FloodbornPact,high,5,8,3,3,0,0,,,,,,,,,,
215,Halo Terrace,Site,Fateforge,high,6,11,0,3,0,5,,,,,,,,,,
217,Witness Square,Site,SkyloomTemple,high,4,9,0,5,0,0,,,,,,,,,,
218,Warfield Basin,Site,BorderstoneGuild,high,11,11,0,0,0,0,,,,,,,,,,
220,Reed Lock,Site,FloodbornPact,high,4,5,9,0,0,0,,,,,,,,,,
222,Threshold Stair,Site,SkyloomTemple,high,4,9,0,5,1,0,,,,,,,,,,
223,Dust Gate,Site,BorderstoneGuild,high,7,12,0,5,3,0,,,,,,,,,,
16,"Void Augur, the Hollow Prophet",Boss,BorderstoneGuild,low,0,0,0,0,0,0,Crocavine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
19,"Pharaoh of Chains, the Eternal",Boss,SkyloomTemple,low,0,0,0,0,0,0,Hydran,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
20,"Obsidian Berserker, the Black King",Boss,UnderwellKeepers,low,0,0,0,0,0,0,Sludgine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
24,"Idol Colossus, the Living God",Boss,UnderwellKeepers,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
29,"Crimson Duelmaster, the Blood Regent",Boss,Fateforge,low,1,0,0,0,0,1,Hyenoid,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
30,"Chained Seer, the Blind Judge",Boss,SkyloomTemple,medium,0,0,0,5,0,5,Bitum,Fateforge,1.0,6.0,,,,promote_medium:owner_top_signal,SkyloomTemple,Promoted from low to medium confidence because the assigned faction is already the strongest surviving signal in the remaining evidence set (owner_top with score >= 3). No quota-changing reassignment applied.
31,"Chain Warlord, the Iron Tyrant",Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
39,Void Inquisitor King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Rattusk,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
41,Void Exarch King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Hawkind,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
42,Void Devourer King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Raptrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
44,Void Augur King,Boss,SkyloomTemple,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
46,Siege Idol King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Raptrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
48,Shadow Hulk King,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Spidrine,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
49,Shadow Assassin Lord,Boss,UnderwellKeepers,low,1,0,0,0,1,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
52,Rune Pontiff King,Boss,BorderstoneGuild,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
54,Rune Khan King,Boss,FloodbornPact,low,0,0,0,0,0,0,Anunnaki,,,,,,,manual_review,,Insufficient surviving evidence for safe auto-promotion or quota-safe reassignment.
